# Dados da tabela: 
# DATA TEMP UMIDADE PRESSAO LUMINOSIDADE
# Obs.: A data está no formato aaaammddHHMMSS; TEMP em graus celsius; UMIDADE em %;
# PRESSAO em Pascal; LUMINOSIDADE sem unidade 

20140708145207	19.4	52.5	101911	836
20140708145307	19.3	51.4	101891	849
20140708145406	19.4	52.1	101897	815
20140708145505	19.6	54.4	101898	830
20140708145605	19.2	52.0	101910	848
20140708145704	19.3	50.8	101914	831
20140708145803	19.5	51.5	101901	686
20140708145903	19.4	51.3	101897	853
20140708150002	19.1	48.2	101927	831
20140708150102	18.9	51.2	101907	849
20140708150201	19.0	53.5	101901	838
20140708150300	19.2	57.2	101908	857
20140708150400	19.2	54.7	101902	844
20140708150459	19.1	53.1	101907	829
20140708150558	19.0	53.3	101895	859
20140708150658	19.0	53.4	101910	852
20140708150757	19.0	53.9	101907	851
20140708150857	18.9	57.2	101895	838
20140708150956	18.9	55.7	101898	844
20140708151055	19.0	58.6	101907	844
20140708151155	18.8	58.8	101903	862
20140708151254	18.7	59.9	101889	865
20140708151353	18.5	60.6	101905	811
20140708151453	18.5	59.7	101899	857
20140708151552	18.4	61.0	101902	862
20140708151652	18.5	63.1	101902	866
20140708151751	18.5	62.9	101902	854
20140708151850	18.2	62.5	101898	869
20140708151950	18.0	62.9	101894	858
20140708152049	17.9	64.4	101919	865
20140708152148	17.9	64.7	101894	859
20140708152248	17.8	66.0	101893	870
20140708152347	17.6	64.8	101890	845
20140708152447	17.7	63.5	101893	837
20140708152546	17.8	67.0	101891	838
20140708152645	17.8	65.9	101899	852
20140708152745	17.7	65.6	101885	857
20140708152844	17.8	64.8	101893	817
20140708152943	17.8	64.7	101893	846
20140708153043	17.8	64.8	101891	826
20140708153142	17.7	64.6	101885	813
20140708153242	17.6	63.7	101890	833
20140708153341	17.6	64.3	101893	821
20140708153440	17.7	63.5	101884	746
20140708153540	17.6	61.3	101884	832
20140708153639	17.6	59.3	101881	831
20140708153739	17.5	59.9	101884	836
20140708153838	17.6	56.8	101893	834
20140708153937	17.5	58.1	101884	831
20140708154037	17.5	58.7	101898	827
20140708154136	17.4	58.2	101886	837
20140708154235	17.3	57.7	101889	832
20140708154335	17.2	59.0	101886	835
20140708154434	17.3	57.8	101877	830
20140708154534	17.2	59.0	101891	833
20140708154633	17.2	59.7	101882	830
20140708154732	17.2	60.1	101894	825
20140708154832	17.3	60.2	101888	803
20140708154931	17.3	60.3	101874	774
20140708155030	17.4	59.7	101897	822
20140708155130	17.4	60.3	101886	547
20140708155229	17.3	59.4	101892	768
20140708155329	17.3	59.8	101891	529
20140708155428	17.3	60.5	101889	688
20140708155527	17.2	61.3	101877	782
20140708155627	17.2	63.3	101897	715
20140708155726	17.2	61.6	101897	731
20140708155825	17.2	61.4	101902	527
20140708155925	17.2	62.1	101894	529
20140708160024	17.2	60.8	101894	517
20140708160123	17.2	61.6	101905	498
20140708160223	17.2	62.1	101902	499
20140708160322	17.2	62.4	101905	506
20140708160422	17.1	62.2	101891	489
20140708160521	17.0	60.3	101896	507
20140708160620	17.0	61.2	101887	526
20140708160720	17.1	64.6	101893	513
20140708160819	17.1	62.3	101891	515
20140708160918	17.2	61.7	101896	514
20140708161018	17.2	60.8	101888	510
20140708161117	17.2	61.8	101888	711
20140708161217	17.2	61.6	101888	498
20140708161316	17.1	61.7	101891	527
20140708161415	17.1	61.1	101894	523
20140708161515	17.2	61.9	101897	547
20140708161614	17.2	61.5	101888	574
20140708161714	17.3	61.4	101897	589
20140708161813	17.4	61.9	101897	604
20140708161912	17.4	61.4	101892	567
20140708162012	17.4	61.5	101903	551
20140708162111	17.4	61.3	101900	544
20140708162210	17.3	63.0	101900	506
20140708162310	17.2	62.0	101905	766
20140708162409	17.1	61.4	101893	743
20140708162508	17.0	59.0	101887	748
20140708162608	17.0	61.5	101896	768
20140708162707	17.0	62.2	101910	530
20140708162807	17.0	62.8	101887	708
20140708162906	16.9	60.5	101913	716
20140708163005	17.1	61.9	101902	553
20140708163105	17.0	62.0	101904	780
20140708163204	17.0	60.1	101913	542
20140708163304	17.1	61.6	101905	756
20140708163403	17.1	60.7	101905	521
20140708163502	17.1	61.8	101913	790
20140708163602	17.1	61.4	101908	772
20140708163701	17.0	63.3	101913	524
20140708163800	16.9	60.5	101909	522
20140708163900	16.8	62.1	101903	537
20140708163959	16.8	60.3	101912	495
20140708164059	16.7	61.0	101909	710
20140708164158	16.7	63.7	101906	742
20140708164257	16.5	64.2	101899	686
20140708164357	16.5	62.3	101902	730
20140708164456	16.4	69.9	101890	737
20140708164555	16.4	64.8	101913	732
20140708164655	16.3	65.9	101910	827
20140708164754	16.2	64.1	101909	487
20140708164854	16.0	67.0	101917	485
20140708164953	15.9	64.1	101908	509
20140708165052	15.9	64.5	101900	514
20140708165152	15.8	65.6	101891	503
20140708165251	15.9	63.7	101899	542
20140708165350	15.8	70.1	101894	558
20140708165450	15.7	70.3	101910	549
20140708165549	15.7	66.4	101893	552
20140708165649	15.6	68.4	101904	558
20140708165748	15.6	64.8	101910	576
20140708165847	15.6	68.9	101901	543
20140708165947	15.6	68.3	101915	537
20140708170046	15.6	68.0	101904	539
20140708170145	15.5	68.8	101904	536
20140708170245	15.4	70.8	101901	539
20140708170344	15.4	67.5	101909	533
20140708170444	15.4	68.9	101906	534
20140708170543	15.4	70.2	101900	527
20140708170642	15.3	70.2	101897	704
20140708170742	15.2	71.0	101897	445
20140708170841	15.2	70.1	101894	702
20140708170940	15.0	71.3	101913	420
20140708171040	14.9	72.5	101898	747
20140708171139	14.9	73.5	101898	755
20140708171238	14.8	71.1	101906	735
20140708171338	14.8	71.1	101904	756
20140708171437	14.7	73.3	101906	692
20140708171537	14.7	75.0	101900	425
20140708171636	14.7	75.9	101920	427
20140708171735	14.6	74.5	101908	464
20140708171835	14.6	76.7	101903	429
20140708171934	14.5	77.4	101905	731
20140708172034	14.4	77.5	101891	419
20140708172133	14.4	76.4	101907	428
20140708172232	14.3	79.2	101910	440
20140708172332	14.3	78.3	101910	435
20140708172431	14.3	78.3	101910	440
20140708172530	14.3	77.5	101896	443
20140708172630	14.2	81.5	101909	432
20140708172729	14.1	80.1	101903	465
20140708172829	14.0	80.8	101909	442
20140708172928	14.0	80.6	101892	756
20140708173027	13.9	81.4	101911	757
20140708173127	13.8	83.2	101897	729
20140708173226	13.8	82.2	101908	760
20140708173325	13.7	82.1	101916	778
20140708173425	13.7	84.1	101916	753
20140708173524	13.6	84.4	101904	738
20140708173624	13.6	84.4	101901	724
20140708173723	13.5	86.4	101898	848
20140708173822	13.4	86.6	101895	836
20140708173922	13.4	85.3	101898	737
20140708174021	13.3	84.9	101897	744
20140708174120	13.3	85.3	101894	742
20140708174220	13.2	86.4	101908	742
20140708174319	13.2	86.2	101891	193
20140708174419	13.1	85.8	101899	674
20140708174518	13.1	87.9	101913	269
20140708174617	13.0	87.5	101899	599
20140708174717	12.9	88.0	101910	617
20140708174816	12.9	87.8	101907	716
20140708174915	12.8	87.5	101898	745
20140708175015	12.8	89.2	101906	703
20140708175114	12.7	88.5	101901	729
20140708175214	12.7	89.8	101903	718
20140708175313	12.7	90.2	101911	697
20140708175412	12.7	89.7	101906	644
20140708175512	12.6	91.0	101906	693
20140708175611	12.6	90.9	101891	299
20140708175710	12.5	90.7	101897	729
20140708175810	12.5	90.8	101902	352
20140708175909	12.4	91.3	101902	398
20140708180009	12.4	91.5	101938	313
20140708180108	12.4	91.3	101910	351
20140708180207	12.3	92.0	101921	616
20140708180307	12.3	93.1	101910	318
